Pen,B Vmin,B Vmax,B VminVmax,Max PLosses,Min PLosses,Energy Losses,Min Fluxo Subestacao,Max_Cargamento_Trafo_pct
70,0,0,0,101.65697195475619,55.480361508710445,718.7730752935706,-1902.3283029434099,9.645732828030837
80,0,150,150,175.2081996551852,59.96024001111741,1049.7832492279601,-3652.0863461755953,9.64573258975974
90,0,0,0,101.65698543641605,57.73838909197759,660.5075791592083,-2582.366388115815,9.645734012406649
100,0,134,134,112.57897885374508,51.84416858405401,742.7034403429283,-3467.01174208509,9.645732747468983
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.657008054122,71.59257869711811,741.8155150596059,4052.2334494751385,9.645736522880126
20,0,0,0,101.65700311084386,69.66864956299666,691.6019350286492,3263.341658445783,9.645735910252625
30,0,0,0,101.65699884713605,60.3265668994729,616.1552442406888,1644.4462852671218,9.645735556184377
40,0,0,0,101.65700153957718,65.70027532442464,662.9805757272132,1901.8159838584522,9.645735599833268
50,0,0,0,101.65698204281959,56.700338758806204,608.799518656822,83.65016867276634,9.645733941847087
60,0,0,0,70.6549661524889,49.8243716211375,535.4734761422721,-1766.975728504465,4.930455648269347
70,0,138,138,117.4696569242323,52.67097575404462,755.309694404662,-3101.916967770698,5.832310645973461
80,0,0,0,101.65698324861576,54.97641036522283,660.176103571761,-1390.1942585050688,9.645733418679486
90,0,217,217,155.09794181552675,55.43645423041499,946.0775921642233,-4683.7336399060605,9.645732619352978
100,0,147,147,123.87198102119098,49.6741721122641,746.2225085866461,-6456.741543735297,12.010351239176064
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,93.80721703553053,70.36548481323065,715.414258553621,3989.5759834235573,8.9321098804318
20,0,0,0,101.65700661465084,73.32089520376529,719.8740104791694,3574.469606356255,9.6457362134818
30,0,0,0,101.65699653851117,63.59852113721523,677.4078501509002,1861.5850088314373,9.645735450201059
40,0,0,0,101.65699464222442,66.63290207648194,674.0757431598186,1914.9499207075435,9.64573503318691
50,0,0,0,101.65699586277434,65.3652826402097,690.5760688758387,795.7723131253894,9.645735031014603
60,0,0,0,90.15206478498855,50.98912523248848,617.9713897128888,-2236.7973083058887,4.409379824960304
70,0,63,63,173.87978190897198,60.39308250644122,1035.921692863766,-3663.8647398679163,6.850934196408842
80,0,0,0,109.11064041139339,55.313300394342725,753.6391820960606,-2761.844781681115,9.645732977269283
90,0,246,246,173.8266853858018,57.21790017773163,1030.946497862883,-4659.956248327613,9.645732456508727
100,0,160,160,141.61203765119544,51.57886205236383,852.288638717617,-6613.712488560464,12.293689362948859
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.65701036805898,72.54177684707138,756.4647632949836,4052.286628656463,9.645736630252486
20,0,0,0,101.65700567310647,72.4874561669374,709.7704622817121,3261.8934876720077,9.645736123024854
